"","state","week_start","tmean_week_C","tmean_week_F"
"4595","Illinois",2021-11-15,6.11428571428571,43.0057142857143
"4596","Illinois",2021-11-22,2.01428571428571,35.6257142857143
"4597","Illinois",2021-11-29,7,44.6
"4598","Illinois",2021-12-06,2.74285714285714,36.9371428571429
"4599","Illinois",2021-12-13,5.8,42.44
"4600","Illinois",2021-12-20,5.14285714285714,41.2571428571429
"4601","Illinois",2021-12-27,3.12857142857143,37.6314285714286
"4602","Illinois",2022-01-03,-6.24285714285714,20.7628571428571
"4603","Illinois",2022-01-10,-1.3,29.66
"4604","Illinois",2022-01-17,-4.58571428571429,23.7457142857143
"4605","Illinois",2022-01-24,-4.95714285714286,23.0771428571429
"4606","Illinois",2022-01-31,-5.5,22.1
"4607","Illinois",2022-02-07,-3.37142857142857,25.9314285714286
"4608","Illinois",2022-02-14,0,32
"4609","Illinois",2022-02-21,-0.2,31.64
"4610","Illinois",2022-02-28,7.25714285714286,45.0628571428571
"4611","Illinois",2022-03-07,-0.771428571428571,30.6114285714286
"4612","Illinois",2022-03-14,10.9857142857143,51.7742857142857
"4613","Illinois",2022-03-21,7.05714285714286,44.7028571428571
"4614","Illinois",2022-03-28,5.7,42.26
"4615","Illinois",2022-04-04,8.15714285714286,46.6828571428571
"4616","Illinois",2022-04-11,10.3714285714286,50.6685714285714
"4617","Illinois",2022-04-18,13.6142857142857,56.5057142857143
"4618","Illinois",2022-04-25,12.6,54.68
"4619","Illinois",2022-05-02,13.2428571428571,55.8371428571429
"4620","Illinois",2022-05-09,23.6571428571429,74.5828571428571
"4621","Illinois",2022-05-16,19.2428571428571,66.6371428571429
"4622","Illinois",2022-05-23,18.0857142857143,64.5542857142857
"4623","Illinois",2022-05-30,22.0285714285714,71.6514285714286
"4624","Illinois",2022-06-06,21.3285714285714,70.3914285714286
"4625","Illinois",2022-06-13,26.4285714285714,79.5714285714286
"4626","Illinois",2022-06-20,25.5857142857143,78.0542857142857
"4627","Illinois",2022-06-27,23.3428571428571,74.0171428571429
"4628","Illinois",2022-07-04,25.9857142857143,78.7742857142857
"4629","Illinois",2022-07-11,24.7714285714286,76.5885714285714
"4630","Illinois",2022-07-18,26.5857142857143,79.8542857142857
"4631","Illinois",2022-07-25,22.2428571428571,72.0371428571429
"4632","Illinois",2022-08-01,26.3285714285714,79.3914285714286
"4633","Illinois",2022-08-08,22.8857142857143,73.1942857142857
"4634","Illinois",2022-08-15,21.9285714285714,71.4714285714286
"4635","Illinois",2022-08-22,22.9857142857143,73.3742857142857
"4636","Illinois",2022-08-29,22.4571428571429,72.4228571428571
"4637","Illinois",2022-09-05,21.0428571428571,69.8771428571429
"4638","Illinois",2022-09-12,20.8857142857143,69.5942857142857
"4639","Illinois",2022-09-19,20.4,68.72
"4640","Illinois",2022-09-26,13.5428571428571,56.3771428571429
"4641","Illinois",2022-10-03,13,55.4
"4642","Illinois",2022-10-10,12.7571428571429,54.9628571428571
"4643","Illinois",2022-10-17,10.8428571428571,51.5171428571429
"4644","Illinois",2022-10-24,11.6428571428571,52.9571428571429
"4645","Illinois",2022-10-31,14.4142857142857,57.9457142857143
"4646","Illinois",2022-11-07,8.05714285714286,46.5028571428571
"4647","Illinois",2022-11-14,-1.3,29.66
"4648","Illinois",2022-11-21,5.31428571428571,41.5657142857143
"4649","Illinois",2022-11-28,2.34285714285714,36.2171428571429
"4650","Illinois",2022-12-05,4.3,39.74
"4651","Illinois",2022-12-12,0.657142857142857,33.1828571428571
"4652","Illinois",2022-12-19,-8.05714285714286,17.4971428571429
"4653","Illinois",2022-12-26,2.67142857142857,36.8085714285714
"4654","Illinois",2023-01-02,3.55714285714286,38.4028571428571
"4655","Illinois",2023-01-09,2.31428571428571,36.1657142857143
"4656","Illinois",2023-01-16,2.75714285714286,36.9628571428571
"4657","Illinois",2023-01-23,-0.1,31.82
"4658","Illinois",2023-01-30,-3.97142857142857,24.8514285714286
"4659","Illinois",2023-02-06,3.11428571428571,37.6057142857143
"4660","Illinois",2023-02-13,4.32857142857143,39.7914285714286
"4661","Illinois",2023-02-20,4.17142857142857,39.5085714285714
"4662","Illinois",2023-02-27,6.98571428571429,44.5742857142857
"4663","Illinois",2023-03-06,5.21428571428571,41.3857142857143
"4664","Illinois",2023-03-13,0.814285714285714,33.4657142857143
"4665","Illinois",2023-03-20,7.27142857142857,45.0885714285714
"4666","Illinois",2023-03-27,8.27142857142857,46.8885714285714
"4667","Illinois",2023-04-03,12.4142857142857,54.3457142857143
"4668","Illinois",2023-04-10,15.6857142857143,60.2342857142857
"4669","Illinois",2023-04-17,11.1571428571429,52.0828571428571
"4670","Illinois",2023-04-24,10.5428571428571,50.9771428571429
"4671","Illinois",2023-05-01,15.2142857142857,59.3857142857143
"4672","Illinois",2023-05-08,20.2571428571429,68.4628571428571
"4673","Illinois",2023-05-15,17.6285714285714,63.7314285714286
"4674","Illinois",2023-05-22,19.7142857142857,67.4857142857143
"4675","Illinois",2023-05-29,24.7714285714286,76.5885714285714
"4676","Illinois",2023-06-05,20.8428571428571,69.5171428571429
"4677","Illinois",2023-06-12,20.9142857142857,69.6457142857143
"4678","Illinois",2023-06-19,25.3714285714286,77.6685714285714
"4679","Illinois",2023-06-26,23.5857142857143,74.4542857142857
"4680","Illinois",2023-07-03,23.1857142857143,73.7342857142857
"4681","Illinois",2023-07-10,24.6285714285714,76.3314285714286
"4682","Illinois",2023-07-17,23.2571428571429,73.8628571428571
"4683","Illinois",2023-07-24,27.3857142857143,81.2942857142857
"4684","Illinois",2023-07-31,23.7,74.66
"4685","Illinois",2023-08-07,22.7285714285714,72.9114285714286
"4686","Illinois",2023-08-14,21.8285714285714,71.2914285714286
"4687","Illinois",2023-08-21,27.3857142857143,81.2942857142857
"4688","Illinois",2023-08-28,21.2142857142857,70.1857142857143
"4689","Illinois",2023-09-04,22.0571428571429,71.7028571428571
"4690","Illinois",2023-09-11,18.0857142857143,64.5542857142857
"4691","Illinois",2023-09-18,20.6857142857143,69.2342857142857
"4692","Illinois",2023-09-25,20.9714285714286,69.7485714285714
"4693","Illinois",2023-10-02,17.4428571428571,63.3971428571429
"4694","Illinois",2023-10-09,13.5285714285714,56.3514285714286
"4695","Illinois",2023-10-16,12.4571428571429,54.4228571428571
"4696","Illinois",2023-10-23,14.8714285714286,58.7685714285714
"4697","Illinois",2023-10-30,5.91428571428571,42.6457142857143
"4698","Illinois",2023-11-06,11.1571428571429,52.0828571428571
"4699","Illinois",2023-11-13,9.21428571428572,48.5857142857143
"4700","Illinois",2023-11-20,3.8,38.84
"4701","Illinois",2023-11-27,2.54285714285714,36.5771428571429
"4702","Illinois",2023-12-04,5.48571428571429,41.8742857142857
"4703","Illinois",2023-12-11,3.4,38.12
"4704","Illinois",2023-12-18,5.45714285714286,41.8228571428571
"4705","Illinois",2023-12-25,3.21428571428571,37.7857142857143
"4706","Illinois",2024-01-01,-0.342857142857143,31.3828571428571
"4707","Illinois",2024-01-08,-3.82857142857143,25.1085714285714
"4708","Illinois",2024-01-15,-10.6714285714286,12.7914285714286
"4709","Illinois",2024-01-22,1.85714285714286,35.3428571428571
"4710","Illinois",2024-01-29,3.45714285714286,38.2228571428571
"4711","Illinois",2024-02-05,5.28571428571429,41.5142857142857
"4712","Illinois",2024-02-12,0.642857142857143,33.1571428571429
"4713","Illinois",2024-02-19,6.38571428571429,43.4942857142857
"4714","Illinois",2024-02-26,7.45714285714286,45.4228571428571
"4715","Illinois",2024-03-04,9.28571428571429,48.7142857142857
"4716","Illinois",2024-03-11,10.7714285714286,51.3885714285714
